field,group,model,n,n_bonafide,n_spoof,eer,far,frr,fp,fn
speaker,LA_0037,AASIST3,1784,146,1638,20.499857828624954,0.22405372405372406,0.1780821917808219,367,26
speaker,LA_0028,AASIST3,1004,68,936,20.497109100050277,0.1047008547008547,0.36764705882352944,98,25
speaker,LA_0008,AASIST3,1784,146,1638,19.913191831000052,0.231990231990232,0.15753424657534246,380,23
speaker,LA_0002,AASIST3,1004,68,936,19.38788335847159,0.09722222222222222,0.4264705882352941,91,29
speaker,LA_0040,AASIST3,1004,68,936,19.33446455505279,0.10790598290598291,0.36764705882352944,101,25
speaker,LA_0043,LFCC+LCNN,1784,146,1638,19.204425711275025,0.10989010989010989,0.4178082191780822,180,61
speaker,LA_0037,LFCC+LCNN,1784,146,1638,19.173900680749995,0.19474969474969475,0.1917808219178082,319,28
speaker,LA_0015,LFCC+LCNN,1004,68,936,18.907114127702364,0.25747863247863245,0.029411764705882353,241,2
speaker,LA_0038,AASIST3,1004,68,936,18.85369532428356,0.0673076923076923,0.5588235294117647,63,38
speaker,LA_0033,LFCC+LCNN,1784,146,1638,18.648284744175154,0.13797313797313798,0.363013698630137,226,53
speaker,LA_0045,AASIST3,1784,146,1638,18.648284744175154,0.2264957264957265,0.136986301369863,371,20
speaker,LA_0025,AASIST3,1004,68,936,18.640020110608347,0.1014957264957265,0.25,95,17
speaker,LA_0027,LFCC+LCNN,1784,146,1638,18.49565959155,0.2802197802197802,0.02054794520547945,459,3
speaker,LA_0029,LFCC+LCNN,1784,146,1638,18.49565959155,0.33760683760683763,0.02054794520547945,553,3
speaker,LA_0045,LFCC+LCNN,1784,146,1638,17.90230317627578,0.2905982905982906,0.0547945205479452,476,8
speaker,LA_0048,AASIST3,1004,68,936,17.85130718954249,0.09829059829059829,0.3382352941176471,92,23
speaker,LA_0004,AASIST3,1784,146,1638,17.817418502350012,0.2216117216117216,0.136986301369863,363,20
speaker,LA_0002,LFCC+LCNN,1004,68,936,17.584213172448468,0.08653846153846154,0.6323529411764706,81,43
speaker,LA_0032,AASIST3,1004,68,936,17.47737556561086,0.13675213675213677,0.27941176470588236,128,19
speaker,LA_0040,LFCC+LCNN,1004,68,936,17.47737556561086,0.21474358974358973,0.07352941176470588,201,5
speaker,LA_0042,LFCC+LCNN,1784,146,1638,16.986552260524864,0.2576312576312576,0.04794520547945205,422,7
speaker,LA_0017,LFCC+LCNN,1784,146,1638,16.83392710789971,0.10500610500610501,0.4315068493150685,172,63
speaker,LA_0006,LFCC+LCNN,1784,146,1638,16.55251141552511,0.2576312576312576,0.0136986301369863,422,2
speaker,LA_0001,LFCC+LCNN,1004,68,936,16.47498743086978,0.05982905982905983,0.4852941176470588,56,33
speaker,LA_0010,AASIST3,1784,146,1638,16.46093632395002,0.29120879120879123,0.06164383561643835,477,9
speaker,LA_0043,AASIST3,1784,146,1638,16.46093632395002,0.32783882783882784,0.0684931506849315,537,10
speaker,LA_0016,LFCC+LCNN,1784,146,1638,16.399886262899958,0.08547008547008547,0.4246575342465753,140,62
speaker,LA_0029,AASIST3,1784,146,1638,16.399886262899958,0.2692307692307692,0.0684931506849315,441,10
speaker,LA_0031,LFCC+LCNN,1784,146,1638,16.369361232374928,0.16788766788766787,0.14383561643835616,275,21
speaker,LA_0047,AASIST3,1784,146,1638,16.247261110274806,0.33455433455433453,0.0410958904109589,548,6
speaker,LA_0020,LFCC+LCNN,1784,146,1638,16.155686018699715,0.18864468864468864,0.0684931506849315,309,10
speaker,LA_0021,AASIST3,1004,68,936,16.15447461035696,0.09401709401709402,0.3088235294117647,88,21
speaker,LA_0023,LFCC+LCNN,1004,68,936,16.10105580693816,0.06196581196581197,0.4411764705882353,58,30
speaker,LA_0039,LFCC+LCNN,1784,146,1638,15.843745295800089,0.2612942612942613,0.0273972602739726,428,4
speaker,LA_0032,LFCC+LCNN,1004,68,936,15.833961789844142,0.24786324786324787,0.029411764705882353,232,2
speaker,LA_0024,LFCC+LCNN,1784,146,1638,15.630070082124876,0.2509157509157509,0.0136986301369863,411,2
speaker,LA_0011,LFCC+LCNN,1004,68,936,15.62028657616893,0.20512820512820512,0.029411764705882353,192,2
speaker,LA_0021,LFCC+LCNN,1004,68,936,15.152086475615889,0.1517094017094017,0.19117647058823528,142,13
speaker,LA_0013,LFCC+LCNN,1004,68,936,15.098667672197086,0.13995726495726496,0.14705882352941177,131,10
speaker,LA_0007,LFCC+LCNN,1004,68,936,15.045248868778282,0.1623931623931624,0.11764705882352941,152,8
speaker,LA_0023,AASIST3,1004,68,936,15.045248868778282,0.0876068376068376,0.22058823529411764,82,15
speaker,LA_0030,AASIST3,1004,68,936,15.045248868778282,0.06837606837606838,0.3088235294117647,64,21
speaker,LA_0046,LFCC+LCNN,1004,68,936,14.884992458521873,0.20192307692307693,0.08823529411764706,189,6
speaker,LA_0034,LFCC+LCNN,1784,146,1638,14.860253901349797,0.25213675213675213,0.0136986301369863,413,2
speaker,LA_0018,LFCC+LCNN,1004,68,936,14.83157365510307,0.1752136752136752,0.10294117647058823,164,7
speaker,LA_0028,LFCC+LCNN,1004,68,936,14.67131724484666,0.14316239316239315,0.17647058823529413,134,12
speaker,LA_0047,LFCC+LCNN,1784,146,1638,14.639888270025258,0.1514041514041514,0.14383561643835616,248,21
speaker,LA_0024,AASIST3,1784,146,1638,14.548313178450167,0.3498168498168498,0.0136986301369863,573,2
speaker,LA_0009,AASIST3,1784,146,1638,14.517788147925136,0.24297924297924298,0.07534246575342465,398,11
speaker,LA_0044,LFCC+LCNN,1004,68,936,14.350804424333838,0.16346153846153846,0.04411764705882353,153,3
speaker,LA_0046,AASIST3,1004,68,936,13.829185520361989,0.08653846153846154,0.16176470588235295,81,11
speaker,LA_0036,LFCC+LCNN,1004,68,936,13.66892911010558,0.04487179487179487,0.4264705882352941,42,29
speaker,LA_0035,LFCC+LCNN,1784,146,1638,13.625871845049925,0.14407814407814407,0.11643835616438356,236,17
speaker,LA_0018,AASIST3,1004,68,936,13.455253896430367,0.09401709401709402,0.19117647058823528,88,13
speaker,LA_0038,LFCC+LCNN,1004,68,936,13.40183509301156,0.06196581196581197,0.8823529411764706,58,60
speaker,LA_0038,AASIST-L,1004,68,936,13.294997486173955,0.07371794871794872,0.17647058823529413,69,12
speaker,LA_0034,AASIST3,1784,146,1638,13.252881061100236,0.27045177045177043,0.0410958904109589,443,6
speaker,LA_0001,AASIST3,1004,68,936,13.134741075917544,0.12072649572649573,0.14705882352941177,113,10
