field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
codec,C07,AASIST-L,within_group,47348,47348,9610,37738,39.791007708606394,0.4140653982722985,0.3823100936524454,15626,3674
codec,C07,AASIST,within_group,47348,47348,9610,37738,39.783154946016154,0.3605649477979755,0.43381893860561915,13607,4169
codec,C03,AASIST-L,within_group,47987,47987,9710,38277,39.18852122100789,0.27468192387073176,0.5147270854788878,10514,4998
codec,C04,AASIST,within_group,47699,47699,9701,37998,39.18773856874145,0.366308753092268,0.4178950623647047,13919,4054
codec,C09,AASIST,within_group,41599,41599,8994,32605,39.07059305873359,0.08737923631344886,0.7861907938625751,2849,7071
codec,C02,AASIST-L,within_group,47426,47426,9654,37772,38.56231744594024,0.2964894630943556,0.492024031489538,11199,4750
codec,C03,AASIST3,within_group,47987,47987,9710,38277,38.55960159460954,0.5047940016197716,0.2783728115345005,19322,2703
codec,C01,AASIST3,within_group,47253,47253,9534,37719,38.47208075762656,0.406346933905989,0.36154814348646946,15327,3447
codec,C08,AASIST-L,within_group,46678,46678,9003,37675,37.60220883387614,0.20939615129396152,0.5674775074975008,7889,5109
codec,C08,AASIST,within_group,46678,46678,9003,37675,37.3799001306134,0.21183808891838088,0.5593690991891592,7981,5036
codec,C03,AASIST,within_group,47987,47987,9710,38277,37.35094606993355,0.28748334508974055,0.4588053553038105,11004,4455
codec,C05,AASIST3,within_group,47541,47541,9693,37848,37.09998654966181,0.3851722680194462,0.35489528525740227,14578,3440
codec,C07,XLS-R+AASIST,within_group,47348,47348,9610,37738,36.870247126402866,0.1533732577243097,0.5236212278876171,5788,5032
codec,C06,LFCC+LCNN,within_group,41554,41554,8976,32578,36.490069178822054,0.6994290625575542,0.03609625668449198,22786,324
codec,C02,AASIST,within_group,47426,47426,9654,37772,36.22561039807478,0.2754950757174627,0.4528692769836337,10406,4372
codec,C03,LFCC+LCNN,within_group,47987,47987,9710,38277,36.16841589468412,0.5074326619118531,0.18022657054582905,19423,1750
codec,C04,XLS-R+AASIST,within_group,47699,47699,9701,37998,35.7920569433667,0.13758618874677614,0.5280898876404494,5228,5123
codec,C01,AASIST-L,within_group,47253,47253,9534,37719,35.69442310900565,0.3884779554070893,0.3260960771973988,14653,3109
codec,C06,AASIST-L,within_group,41554,41554,8976,32578,34.25713396856184,0.4553379581312542,0.2376336898395722,14834,2133
codec,C01,AASIST,within_group,47253,47253,9534,37719,33.69192303772067,0.39110262732309975,0.2933710929305643,14752,2797
codec,C11,AASIST-L,within_group,46610,46610,8991,37619,33.6219098908461,0.3394029612695712,0.3325547769992214,12768,2990
codec,C11,AASIST,within_group,46610,46610,8991,37619,32.73176682889859,0.3240118025465855,0.3298854409965521,12189,2966
codec,C10,XLS-R+Nes2Net,within_group,47477,47477,9673,37804,32.6331514276223,0.23039889958734525,0.3780626486095317,8710,3657
codec,C06,AASIST,within_group,41554,41554,8976,32578,32.57187412215345,0.43599975443550865,0.22459893048128343,14204,2016
codec,C06,AASIST3,within_group,41554,41554,8976,32578,32.46398756791461,0.49370740990852724,0.19084224598930483,16084,1713
codec,C05,AASIST-L,within_group,47541,47541,9693,37848,31.619668414491013,0.5413231874867893,0.13287939750335293,20488,1288
codec,C03,XLS-R+Nes2Net,within_group,47987,47987,9710,38277,31.581927575634566,0.1776262507511038,0.36086508753861996,6799,3504
codec,nocodec,AASIST-L,within_group,171602,171602,35149,136453,31.00282680688261,0.5327988391607367,0.13021707587698086,72702,4577
codec,C02,XLS-R+Nes2Net,within_group,47426,47426,9654,37772,30.855608940680824,0.1865932436725617,0.35394655065257924,7048,3417
codec,nocodec,LFCC+LCNN,within_group,171602,171602,35149,136453,30.618046846563228,0.6206459366961518,0.044041082249850635,84689,1548
codec,C05,AASIST,within_group,47541,47541,9693,37848,30.463301592890318,0.5139505389980976,0.11492829877230991,19452,1114
codec,nocodec,AASIST,within_group,171602,171602,35149,136453,30.043420296548156,0.5113042586091915,0.11382969643517596,69769,4001
codec,C09,XLS-R+Nes2Net,within_group,41599,41599,8994,32605,28.986171223488057,0.253764760006134,0.3083166555481432,8274,2773
codec,C10,XLS-R+AASIST,within_group,47477,47477,9673,37804,28.579329548678565,0.1805893556237435,0.3580068231158896,6827,3463
